date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,New Cases,7-Day Moving Avg_x,New Deaths,7-Day Moving Avg_y
2020-12-20,Pfizer/BioNTech,556208,556208.0,,197857,219788,1580,2662
2020-12-21,Pfizer/BioNTech,614117,614117.0,,184799,216765,1749,2657
2020-12-23,"Moderna, Pfizer/BioNTech",1008025,1008025.0,,228748,213876,3468,2688
2020-12-26,"Moderna, Pfizer/BioNTech",1944585,1944585.0,,180759,189742,1277,2243
2020-12-28,"Moderna, Pfizer/BioNTech",2127143,2127143.0,,171445,180766,1777,2222
2020-12-30,"Moderna, Pfizer/BioNTech",2794588,2794588.0,,233052,181895,3767,2299
2021-01-02,"Moderna, Pfizer/BioNTech",4225756,4225756.0,,284963,206581,2285,2634
2021-01-04,"Moderna, Pfizer/BioNTech",4563260,4563260.0,,173714,215339,1844,2642
2021-01-05,"Moderna, Pfizer/BioNTech",4836469,4836469.0,,230485,219391,3580,2663
2021-01-06,"Moderna, Pfizer/BioNTech",5306797,5306797.0,,248346,221576,3812,2670
2021-01-07,"Moderna, Pfizer/BioNTech",5919418,5919418.0,,281744,228764,4179,2794
2021-01-08,"Moderna, Pfizer/BioNTech",6688231,6688231.0,,314180,248692,3650,2962
2021-01-11,"Moderna, Pfizer/BioNTech",8987322,8987322.0,,200245,249377,2022,3254
2021-01-12,"Moderna, Pfizer/BioNTech",9327138,9327138.0,,220644,247972,4136,3333
2021-01-13,"Moderna, Pfizer/BioNTech",10278462,,,224556,244573,4125,3378
2021-01-14,"Moderna, Pfizer/BioNTech",11148991,9690757.0,1342086.0,225177,236492,3948,3345
2021-01-15,"Moderna, Pfizer/BioNTech",12279180,10595866.0,1610524.0,248747,227144,3653,3345
2021-01-19,"Moderna, Pfizer/BioNTech",15707588,13595803.0,2023124.0,147803,198800,2328,3023
2021-01-20,"Moderna, Pfizer/BioNTech",16525281,14270441.0,2161419.0,187323,193481,4394,3062
2021-01-21,"Moderna, Pfizer/BioNTech",17546374,15053257.0,2394961.0,188905,188299,4048,3076
2021-01-22,"Moderna, Pfizer/BioNTech",19107959,16243093.0,2756953.0,191666,180145,3922,3114
2021-01-23,"Moderna, Pfizer/BioNTech",20537990,17390345.0,3027865.0,171734,174305,3414,3093
2021-01-24,"Moderna, Pfizer/BioNTech",21848655,18502131.0,3216836.0,141028,168118,1928,3099
2021-01-25,"Moderna, Pfizer/BioNTech",22734243,19252279.0,3346390.0,133166,165946,1956,3141
2021-01-26,"Moderna, Pfizer/BioNTech",23540994,19902237.0,3481921.0,150058,166268,3737,3342
2021-01-27,"Moderna, Pfizer/BioNTech",24652634,20687970.0,3801053.0,156234,161827,4074,3297
2021-01-28,"Moderna, Pfizer/BioNTech",26193682,21698606.0,4263056.0,158782,157524,3818,3264
2021-01-29,"Moderna, Pfizer/BioNTech",27884661,22858318.0,4780888.0,164499,153643,3557,3212
2021-01-30,"Moderna, Pfizer/BioNTech",29577902,24064165.0,5259693.0,140912,149239,2872,3134
2021-01-31,"Moderna, Pfizer/BioNTech",31123299,25201143.0,5657142.0,111786,145062,1958,3138
2021-02-01,"Moderna, Pfizer/BioNTech",32222402,26023153.0,5927847.0,125135,143915,1702,3102
2021-02-02,"Moderna, Pfizer/BioNTech",32780860,26440836.0,6064792.0,117690,139291,3461,3063
2021-02-03,"Moderna, Pfizer/BioNTech",33878254,27154956.0,6436931.0,120974,134254,3730,3014
2021-02-04,"Moderna, Pfizer/BioNTech",35203710,27905197.0,6926050.0,125540,129505,5147,3203
2021-02-05,"Moderna, Pfizer/BioNTech",36819212,28909497.0,7503864.0,126872,124129,3539,3201
2021-02-06,"Moderna, Pfizer/BioNTech",39037964,30250964.0,8317180.0,107480,119353,2808,3192
2021-02-07,"Moderna, Pfizer/BioNTech",41210937,31579100.0,9147185.0,90318,116287,1463,3121
2021-02-08,"Moderna, Pfizer/BioNTech",42417617,32340146.0,9518015.0,86443,110759,1629,3111
2021-02-09,"Moderna, Pfizer/BioNTech",43206190,32867213.0,9840429.0,91408,107005,2847,3023
2021-02-10,"Moderna, Pfizer/BioNTech",44769970,33783384.0,10469514.0,96881,103563,3637,3010
2021-02-11,"Moderna, Pfizer/BioNTech",46390270,34723964.0,11188782.0,101794,100170,3530,2779
2021-02-12,"Moderna, Pfizer/BioNTech",48410558,35834855.0,12085830.0,97921,96035,5501,3059
2021-02-13,"Moderna, Pfizer/BioNTech",50641884,37056122.0,13082172.0,88698,93351,3334,3134
2021-02-14,"Moderna, Pfizer/BioNTech",52884356,38292270.0,14077440.0,65885,89861,1266,3106
2021-02-16,"Moderna, Pfizer/BioNTech",55220364,39670551.0,15015434.0,57667,80663,1414,2841
2021-02-17,"Moderna, Pfizer/BioNTech",56281827,40268009.0,15471536.0,69357,76731,2568,2688
2021-02-18,"Moderna, Pfizer/BioNTech",57737767,41021049.0,16162358.0,67952,71896,2391,2525
2021-02-19,"Moderna, Pfizer/BioNTech",59585043,41977401.0,17039118.0,72826,68311,2521,2099
2021-02-20,"Moderna, Pfizer/BioNTech",61289500,42809595.0,17895667.0,69810,65613,2096,1923
2021-02-21,"Moderna, Pfizer/BioNTech",63090634,43628092.0,18865319.0,53716,63874,1254,1921
2021-02-22,"Moderna, Pfizer/BioNTech",64177474,44138118.0,19438495.0,54980,63758,1589,1976
2021-02-23,"Moderna, Pfizer/BioNTech",65032083,44544969.0,19882544.0,69800,65491,2152,2081
2021-02-24,"Moderna, Pfizer/BioNTech",66464947,45237143.0,20607261.0,75121,66315,2431,2062
2021-02-25,"Moderna, Pfizer/BioNTech",68274117,46074392.0,21555117.0,73933,67169,3213,2179
2021-02-26,"Moderna, Pfizer/BioNTech",70454064,47184199.0,22613359.0,73217,67225,2101,2119
2021-02-27,"Moderna, Pfizer/BioNTech",72806180,48435536.0,23698627.0,70217,67283,1821,2080
2021-02-28,"Moderna, Pfizer/BioNTech",75236003,49772180.0,24779920.0,50085,66764,1031,2048
2021-03-01,"Moderna, Pfizer/BioNTech",76899987,50732997.0,25466405.0,50777,66164,1279,2004
2021-03-02,"Moderna, Pfizer/BioNTech",78631601,51755447.0,26162122.0,54355,63957,2118,1999
2021-03-03,"Moderna, Pfizer/BioNTech",80540474,52855579.0,26957804.0,66769,62764,1955,1931
2021-03-04,"Moderna, Pfizer/BioNTech",82572848,54035670.0,27795980.0,66778,61742,1833,1734
2021-03-05,"Johnson&Johnson, Moderna, Pfizer/BioNTech",85008094,55547697.0,28701201.0,66559,60791,2188,1746
2021-03-06,"Johnson&Johnson, Moderna, Pfizer/BioNTech",87912323,57358849.0,29776160.0,57853,59025,1662,1723
2021-03-07,"Johnson&Johnson, Moderna, Pfizer/BioNTech",90351750,58873710.0,30686881.0,41606,57813,848,1697
2021-03-08,"Johnson&Johnson, Moderna, Pfizer/BioNTech",92089852,60005231.0,31493040.0,124266,68312,844,1635
2021-03-09,"Johnson&Johnson, Moderna, Pfizer/BioNTech",93692598,61088527.0,32102061.0,52815,68092,1503,1547
2021-03-10,"Johnson&Johnson, Moderna, Pfizer/BioNTech",95721290,62451150.0,32904161.0,60375,67178,1516,1484
2021-03-11,"Johnson&Johnson, Moderna, Pfizer/BioNTech",98203893,64071674.0,33863127.0,60678,66307,1572,1447
